0.441298;0.40504
0.426273;0.410077
0.415565;0.416699
0.403667;0.420298
0.391748;0.42635
0.379357;0.430438
0.367375;0.435162
0.355558;0.440058
0.344615;0.444575
0.333837;0.449614
0.322234;0.454635
0.312075;0.458344
0.298862;0.463799
0.289301;0.468647
0.277489;0.47226
0.267007;0.477692
0.25842;0.481257
0.248049;0.485841
0.236121;0.489529
0.225967;0.495123
0.216276;0.498888
0.206534;0.503269
0.195278;0.507475
0.184051;0.512185
0.173556;0.516363
0.164829;0.520788
0.154784;0.524644
0.144667;0.530633
0.133797;0.534766
0.120999;0.538832
0.11242;0.541963
0.10131;0.547455
0.0902471;0.553187
0.0803305;0.55724
0.0676924;0.561434
0.0563585;0.567458
0.0455404;0.570686
0.0339243;0.575251
0.0223158;0.580071
0.0113746;0.58739
-0.00144992;0.590748
-0.0146204;0.595571
-0.026084;0.601184
-0.0376759;0.607833
-0.0512822;0.613109
-0.0634983;0.61875
-0.0782347;0.625879
-0.0920007;0.63209
-0.106735;0.638896
-0.12064;0.644049
0.194986;0.606101;66.9908
