0.10, [128.0, 128.0], [0.0, 0.0], [0, 0], error:[0.0, 0.0]
16.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.80, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.90, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.00, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.10, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.20, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.30, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.80, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
17.90, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.00, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.10, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.20, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.30, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
18.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
